fit	metafor_tau2	independent_tau2	objective_difference	numerical_refit	warning
"target_mean common PALS1 omit Che_2021_Cell_Discov"	6.69453395901252e-06	6.69453395901252e-06	0	TRUE	""
"target_mean common PALS1 omit Giguelay_2022_Theranostics"	0.000187370721134852	0.000187370721134852	0	TRUE	""
"target_mean common PALS1 omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common PALS1 omit Sathe_2023_Clin_Cancer_Res"	5.5129089752863e-05	5.5129089752863e-05	0	TRUE	""
"target_mean common PALS1 omit Wang_2023_Sci_Adv"	0	0	0	FALSE	""
"target_mean common PARD3"	0	0	0	TRUE	""
"target_mean common PARD3 omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common PARD3 omit Giguelay_2022_Theranostics"	9.89814085418608e-05	9.89814085418608e-05	0	TRUE	""
"target_mean common PARD3 omit Liu_2024_Cancer_Res"	0	0	0	TRUE	""
"target_mean common PARD3 omit Sathe_2023_Clin_Cancer_Res"	6.46053453066927e-05	6.46053453066927e-05	0	TRUE	""
"target_mean common PARD3 omit Wang_2023_Sci_Adv"	0.000176553305266413	0.000176553305266413	0	TRUE	""
"target_mean common PARD6A"	0.00125324178046989	0.0012532430989199	7.31859017832903e-13	FALSE	""
"target_mean common PARD6A omit Che_2021_Cell_Discov"	0.000807283557221318	0.000807471249746947	2.41956428226331e-08	FALSE	""
"target_mean common PARD6A omit Giguelay_2022_Theranostics"	0.00180317806790948	0.00180313062588254	3.93262311604303e-10	FALSE	""
"target_mean common PARD6A omit Liu_2024_Cancer_Res"	0.00174179456289276	0.00174216260333007	2.49871785484856e-08	FALSE	""
"target_mean common PARD6A omit Sathe_2023_Clin_Cancer_Res"	0.000268184205994012	0.000268184205994012	0	TRUE	""
"target_mean common PARD6A omit Wang_2023_Sci_Adv"	0.00165609895957805	0.00165546270618703	8.25694934647459e-08	FALSE	""
"target_mean common PARD6B"	0.00375425750382191	0.0037544317229683	1.24869004025641e-09	FALSE	""
"target_mean common PARD6B omit Che_2021_Cell_Discov"	0.00186249200604215	0.00186315611270637	4.45786039193763e-08	FALSE	""
"target_mean common PARD6B omit Giguelay_2022_Theranostics"	0.00103691013023187	0.00103691013023187	0	TRUE	""
"target_mean common PARD6B omit Liu_2024_Cancer_Res"	0.00560459279279678	0.00560360219980162	1.59599480298311e-08	FALSE	""
"target_mean common PARD6B omit Sathe_2023_Clin_Cancer_Res"	0.00506733662706054	0.00506732589255392	2.1547208461925e-12	FALSE	""
"target_mean common PARD6B omit Wang_2023_Sci_Adv"	0.00481425450296932	0.00481428105413718	1.4477308241112e-11	FALSE	""
"target_mean common PARD6G"	0.000169745855979261	0.000169745855979261	0	TRUE	""
"target_mean common PARD6G omit Giguelay_2022_Theranostics"	0.000224774489350396	0.000224774496651174	4.44089209850063e-16	FALSE	""
"target_mean common PARD6G omit Liu_2024_Cancer_Res"	0	0	0	FALSE	""
"target_mean common PARD6G omit Wang_2023_Sci_Adv"	0.000164304145980538	0.000164304145552401	4.44089209850063e-16	FALSE	""
"target_mean common PATJ"	2.03950155903425e-05	2.03950155903425e-05	0	TRUE	""
"target_mean common PATJ omit Che_2021_Cell_Discov"	0	0	0	TRUE	""
"target_mean common PATJ omit Giguelay_2022_Theranostics"	3.78624597490023e-05	3.78624597490023e-05	0	TRUE	""
"target_mean common PATJ omit Liu_2024_Cancer_Res"	0	0	0	FALSE	"Fisher scoring algorithm may have gotten stuck at a local maximum.
Setting tau^2 = 0. Check the profile likelihood plot with profile()."
"target_mean common PATJ omit Sathe_2023_Clin_Cancer_Res"	0.00168239991301651	0.00168239991301651	0	TRUE	""
"target_mean common PATJ omit Wang_2023_Sci_Adv"	2.29880305456884e-06	2.29880305456884e-06	0	TRUE	""
"target_mean common PRKCI"	0.000512190695665235	0.000512190695665235	0	TRUE	""
"target_mean common PRKCI omit Che_2021_Cell_Discov"	0	0	0	FALSE	""
"target_mean common PRKCI omit Giguelay_2022_Theranostics"	0.000399929587945383	0.000399929587945383	0	TRUE	""
"target_mean common PRKCI omit Liu_2024_Cancer_Res"	0.00077026021490636	0.00077006880390858	1.90326057136758e-08	FALSE	""
"target_mean common PRKCI omit Sathe_2023_Clin_Cancer_Res"	0.000665170596273676	0.000665170596273676	0	TRUE	""
"target_mean common PRKCI omit Wang_2023_Sci_Adv"	0.000771671690290542	0.000771463447935463	2.24402079140873e-08	FALSE	""
